@relation abalone-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z1.0

@attribute sex {M,F,I}
@attribute length numeric
@attribute diameter numeric
@attribute height numeric
@attribute wholeweight numeric
@attribute shuckedweight numeric
@attribute visceraweight numeric
@attribute shellweight numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29}

@data
F,0.565,0.445,0.125,0.8305,0.3135,0.1785,0.23,11
I,0.515,0.39,0.12,0.565,0.235,0.135,0.179,9
I,0.29,0.225,0.07,0.101,0.036,0.0235,0.035,8
I,0.505,0.4,0.145,0.7045,0.334,0.1425,0.207,8
F,0.575,0.45,0.135,0.8285,0.362,0.1655,0.236,10
I,0.355,0.27,0.105,0.271,0.1425,0.0525,0.0735,9
M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11
F,0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,10
I,0.525,0.38,0.135,0.615,0.261,0.159,0.175,8
M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15
M,0.595,0.475,0.14,1.0305,0.4925,0.217,0.278,10
I,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,14
M,0.2,0.14,0.055,0.035,0.0145,0.008,0.01,5
I,0.64,0.49,0.135,1.1,0.488,0.2505,0.2925,10
I,0.445,0.36,0.11,0.4235,0.182,0.0765,0.14,9
F,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,9
F,0.625,0.49,0.145,0.92,0.437,0.1735,0.28,10
I,0.3,0.22,0.09,0.1425,0.057,0.0335,0.043,7
I,0.435,0.345,0.12,0.4475,0.221,0.112,0.125,7
I,0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,7
I,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,12
F,0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48,11
F,0.56,0.43,0.145,0.898,0.3895,0.2325,0.245,9
I,0.55,0.43,0.145,0.7895,0.3745,0.171,0.223,11
I,0.365,0.265,0.135,0.2215,0.105,0.047,0.0605,7
I,0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855,9
I,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,6
I,0.66,0.525,0.215,1.786,0.6725,0.3615,0.4065,11
F,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,13
