@relation abalone-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z10.0-weka.filters.unsupervised.instance.Resample-S1-Z50.0-weka.filters.unsupervised.instance.Resample-S1-Z70.0-weka.filters.unsupervised.instance.Resample-S1-Z95.0

@attribute sex {M,F,I}
@attribute length numeric
@attribute diameter numeric
@attribute height numeric
@attribute wholeweight numeric
@attribute shuckedweight numeric
@attribute visceraweight numeric
@attribute shellweight numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29}

@data
I,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,14
M,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15
M,0.585,0.455,0.125,1.027,0.391,0.212,0.25,17
F,0.725,0.57,0.205,1.6195,0.744,0.315,0.488,11
M,0.625,0.495,0.155,1.0485,0.487,0.212,0.3215,11
F,0.645,0.52,0.19,1.3105,0.58,0.288,0.37,12
F,0.635,0.505,0.145,1.1345,0.505,0.2655,0.315,10
I,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6
I,0.36,0.275,0.075,0.2205,0.0985,0.044,0.066,7
M,0.615,0.485,0.215,0.9615,0.422,0.176,0.29,11
I,0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032,8
M,0.5,0.375,0.15,0.636,0.2535,0.145,0.19,10
M,0.525,0.395,0.165,0.782,0.285,0.1405,0.285,19
I,0.535,0.4,0.13,0.657,0.2835,0.162,0.175,7
I,0.66,0.525,0.215,1.786,0.6725,0.3615,0.4065,11
F,0.645,0.52,0.19,1.3105,0.58,0.288,0.37,12
I,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7
F,0.585,0.45,0.125,0.874,0.3545,0.2075,0.225,6
F,0.585,0.45,0.125,0.874,0.3545,0.2075,0.225,6
F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9
F,0.58,0.455,0.165,1.1365,0.369,0.3005,0.275,13
I,0.52,0.395,0.125,0.663,0.3005,0.131,0.1905,9
F,0.66,0.53,0.17,1.326,0.519,0.2625,0.44,13
M,0.585,0.46,0.165,1.1135,0.5825,0.2345,0.274,10
I,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7
M,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15
M,0.585,0.455,0.125,1.027,0.391,0.212,0.25,17
M,0.57,0.455,0.15,0.952,0.3895,0.2155,0.2745,9
F,0.585,0.45,0.125,0.874,0.3545,0.2075,0.225,6
M,0.585,0.51,0.16,1.218,0.639,0.241,0.3,11
F,0.725,0.57,0.205,1.6195,0.744,0.315,0.488,11
F,0.57,0.445,0.155,1.017,0.5265,0.2025,0.265,10
I,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7
M,0.585,0.455,0.125,1.027,0.391,0.212,0.25,17
F,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25,10
I,0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032,7
M,0.615,0.475,0.17,1.129,0.4795,0.302,0.3,10
F,0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48,11
I,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,14
F,0.58,0.455,0.165,1.1365,0.369,0.3005,0.275,13
I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,4
M,0.57,0.455,0.15,0.952,0.3895,0.2155,0.2745,9
M,0.5,0.375,0.15,0.636,0.2535,0.145,0.19,10
I,0.515,0.39,0.12,0.565,0.235,0.135,0.179,9
F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19
I,0.505,0.4,0.145,0.7045,0.334,0.1425,0.207,8
F,0.585,0.45,0.125,0.874,0.3545,0.2075,0.225,6
